timestamp,code,value,volume,turn
2019-11-28,300455,7.77,1621184,0.324
2019-11-29,300455,8.55,4142262,0.8277
2019-12-02,300455,8.47,12455316,2.4889
2019-12-03,300455,8.32,6068906,1.2127
2019-12-04,300455,8.45,4637665,0.9267
2019-12-05,300455,8.47,5177573,1.0346
2019-12-06,300455,8.45,3858363,0.771
2019-12-09,300455,8.94,10958995,2.1899
2019-12-10,300455,8.95,5596542,1.1183
2019-12-11,300455,9.02,5460267,1.0911
2019-12-12,300455,8.99,4192914,0.8379
2019-12-13,300455,9.18,5633269,1.1257
2019-12-16,300455,9.27,5992619,1.1975
2019-12-17,300455,9.84,27163417,5.428
2019-12-18,300455,10.82,27890746,5.5733
2019-12-19,300455,10.55,35092936,7.0125
2019-12-20,300455,10.6,23493950,4.6947
2019-12-23,300455,10.86,21458524,4.288
2019-12-24,300455,10.68,13972895,2.7922
2019-12-25,300455,10.89,13121479,2.622
2019-12-26,300455,10.79,18300043,3.6568
2019-12-27,300455,10.36,13512861,2.7002
2019-12-30,300455,10.23,9334366,1.8653
2019-12-31,300455,10.07,7573431,1.5134
2020-01-02,300455,10.77,16785580,3.3542
2020-01-03,300455,11.44,22705294,4.5371
2020-01-06,300455,11.71,18924121,3.7816
2020-01-07,300455,11.69,14177645,2.8331
2020-01-08,300455,11.4,17392558,3.4755
2020-01-09,300455,11.37,15313507,3.0601
2020-01-10,300455,11.79,18565839,3.71
2020-01-13,300455,11.72,11068158,2.2117
2020-01-14,300455,11.52,9918626,1.982
2020-01-15,300455,11.39,9042828,1.807
2020-01-16,300455,11.79,15587790,3.1149
2020-01-17,300455,11.22,18864451,3.7696
2020-01-20,300455,12.34,23016999,4.5994
2020-01-21,300455,12.78,22249673,4.4461
2020-01-22,300455,12.74,19227193,3.8421
2020-01-23,300455,13.26,26880092,5.3714
2020-02-03,300455,11.93,3179700,0.6354
2020-02-04,300455,11.64,22353881,4.4669
2020-02-05,300455,12.71,23743359,4.7446
2020-02-06,300455,13.98,24679229,4.9316
2020-02-07,300455,14.13,35378229,7.0695
2020-02-10,300455,15.54,36997679,7.3931
2020-02-11,300455,14.56,24928001,4.9813
2020-02-12,300455,15.53,23409813,4.6779
2020-02-13,300455,16.67,42021097,8.397
2020-02-14,300455,17.5,41556941,8.3042
2020-02-17,300455,18.03,26101538,5.2158
2020-02-18,300455,17.69,21750665,4.3464
2020-02-19,300455,16.5,24479293,4.8916
2020-02-20,300455,17.87,25737987,5.1432
2020-02-21,300455,18.49,25608714,5.1173
2020-02-24,300455,19.37,19040221,3.8048
2020-02-25,300455,21.11,26383815,5.2722
2020-02-26,300455,19.01,25263688,5.0484
2020-02-27,300455,18.36,20347732,4.066
2020-02-28,300455,17.45,18567795,3.7104
2020-03-02,300455,17.59,12842630,2.5663
2020-03-03,300455,17.11,18257748,3.6484
2020-03-04,300455,16.64,15812083,3.1597
2020-03-05,300455,16.47,11327154,2.2635
2020-03-06,300455,16.43,11332865,2.2646
2020-03-09,300455,15.16,16627798,3.3227
2020-03-10,300455,16.06,16876381,3.3724
